MTFCC,FEATURE CLASS,SUPERCLASS,POINT,LINEAR,AREAL,FEATURE CLASS DESCRIPTION
C3022,"Mountain Peak or Summit","Miscellaneous Topographic Features",Y,N,N,"A prominent elevation rising above the surrounding level of the Earth's surface."
C3023,Island,"Miscellaneous Topographic Features",Y,Y,Y,"An area of dry or relatively dry land surrounded by water or low wetland. [including archipelago, atoll, cay, hammock, hummock, isla, isle, key, moku and rock]"
C3024,Levee,"Miscellaneous Topographic Features",N,Y,Y,"An embankment flanking a stream or other flowing water feature to prevent overflow."
C3026,"Quarry (not water-filled), Open Pit Mine or Mine","Miscellaneous Topographic Features",Y,N,Y,"An area from which commercial minerals are or were removed from the Earth; not including an oilfield or gas field."
C3027,Dam,"Miscellaneous Topographic Features",Y,Y,Y,"A barrier built across the course of a stream to impound water and/or control water flow."
C3061,Cul-de-sac,"Miscellaneous Topographic Features",Y,N,N,"An expanded paved area at the end of a street used by vehicles for turning around. For mapping purposes, the U.S. Census Bureau maps it only as a point feature."
C3062,Traffic Circle,"Miscellaneous Topographic Features",Y,N,N,"A circular intersection allowing for continuous movement of traffic at the meeting of roadways."
C3066,Gate,"Miscellaneous Topographic Features",Y,N,N,A movable barrier across a road.
C3067,Toll Booth,"Miscellaneous Topographic Features",Y,N,N,A structure or barrier where a fee is collected for using a road.
C3070,Tower/Beacon,"Miscellaneous Topographic Features",Y,N,Y,"A manmade structure, higher than its diameter, generally used for observation, storage, or electronic transmission."
C3071,Lookout Tower,Tower/Beacon,Y,N,N,"A manmade structure, higher than its diameter, used for observation."
C3072,"Transmission Tower including cell, radio and TV",Tower/Beacon,Y,N,Y,"A manmade structure, higher than its diameter, used for electronic transmission."
C3074,Lighthouse Beacon,Tower/Beacon,Y,N,N,"A manmade structure, higher than its diameter, used for transmission of light and possibly sound generally to aid in navigation."
C3075,Tank/Tank Farm,"Miscellaneous Topographic Features",Y,N,Y,"One or more manmade structures, each higher than its diameter, used for liquid (other than water) or gas storage or for distribution activities."
C3076,Windmill Farm,"Miscellaneous Topographic Features",Y,N,Y,"One or more manmade structures used to generate power from the wind."
C3077,Solar Farm,"Miscellaneous Topographic Features",Y,N,Y,"One or more manmade structures used to generate power from the sun."
C3078,Monument or Memorial,"Miscellaneous Topographic Features",Y,N,N,"A manmade structure to educate, commemorate, or memorialize an event, person, or feature."
C3079,"Boundary Monument Point","Miscellaneous Topographic Features",Y,N,N,"A material object placed on or near a boundary line to preserve and identify the location of the boundary line on the ground."
C3080,Survey Control Point,"Miscellaneous Topographic Features",Y,N,N,"A point on the ground whose position (horizontal or vertical) is known and can be used as a base for additional survey work."
C3081,Locality Point,"Miscellaneous Topographic Features",Y,N,N,"A point that identifies the location and name of an unbounded locality (e.g., crossroad, community, populated place or locale)."
C3085,"Alaska Native Village Official Point","Miscellaneous Topographic Features",Y,N,N,"A point that serves as the core of an Alaska Native village and is used in defining Alaska Native village statistical areas."
C3088,Landfill,"Miscellaneous Topographic Features",Y,N,Y,A disposal facility at which solid waste is placed on or in the land.
G2100,American Indian Area,"American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,"A legally defined state- or federally recognized reservation and/or off-reservation trust land (excludes statistical American Indian areas)."
G2101,"American Indian Area (Reservation Only)","American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,American Indian Area (Reservation Only)
G2120,Hawaiian Home Land,"American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,A legal area held in trust for the benefit of Native Hawaiians.
G2130,"Alaska Native Village Statistical Area","American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,"A statistical geographic entity that represents the residences, permanent and/or seasonal, for Alaska Natives who are members of or receiving governmental services from the defining legal Alaska Native Village corporation."
G2140,"Oklahoma Tribal Statistical Area","American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,"A statistical entity identified and delineated by the Census Bureau in consultation with federally recognized American Indian tribes that have no current reservation, but had a former reservation in Oklahoma."
G2150,"State-designated Tribal Statistical Area","American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,"A statistical geographic entity identified and delineated for the Census Bureau by a state-appointed liaison for a state-recognized American Indian tribe that does not currently have a reservation and/or lands in trust."
G2160,"Tribal Designated Statistical Area","American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,"A statistical geographic entity identified and delineated for the Census Bureau by a federally recognized American Indian tribe that does not currently have a reservation and/or off-reservation trust land."
G2170,"American Indian Joint Use Area","American Indian, Alaska Native, Or Native Hawaiian Area",N,N,Y,"An area administered jointly and/or claimed by two or more American Indian tribes."
G2200,"Alaska Native Regional Corporation",Tabulation Area,N,N,Y,"Corporate entities established to conduct both business and nonprofit affairs of Alaska Natives pursuant to the Alaska Native Claims Settlement Act of 1972 (Public Law 92-203).  There are twelve geographically defined ANRCs and they are all within and cover most of the State of Alaska (the Annette Island Reserve-an American Indian reservation-is excluded from any ANRC).  The boundaries of ANRCs have been legally established."
G2300,Tribal Subdivision,Tabulation Area,N,N,Y,"Administrative subdivisions of federally recognized American Indian reservations, off-reservation trust lands, or Oklahoma tribal statistical areas (OTSAs).  These entities are internal units of self- government or administration that serve social, cultural, and/or economic purposes for the American Indians on the reservations, off-reservation trust lands, or OTSAs."
G2400,Tribal Census Tract,Tabulation Area,N,N,Y,"A relatively small and permanent statistical subdivision of a federally recognized American Indian reservation and/or off- reservation trust land, delineated by American Indian tribal participants or the Census Bureau for the purpose of presenting demographic data."
G2410,Tribal Block Group,Tabulation Area,N,N,Y,"A cluster of census blocks within a single tribal census tract delineated by American Indian tribal participants or the Census Bureau for the purpose of presenting demographic data."
G3100,"Combined Statistical Area",Tabulation Area,N,N,Y,"A grouping of adjacent metropolitan and/or micropolitan statistical areas that have a degree of economic and social integration, as measured by commuting."
G3110,"Metropolitan and Micropolitan Statistical Area",Tabulation Area,N,N,Y,"An area containing a substantial population nucleus together with adjacent communities having a high degree of economic and social integration with that core, as measured by commuting. Defined using whole counties and equivalents."
G3120,Metropolitan Division,Tabulation Area,N,N,Y,"A county or grouping of counties that is a subdivision of a Metropolitan Statistical Area containing an urbanized area with a population of 2.5 million or more."
G3200,"Combined New England City and Town Area",Tabulation Area,N,N,Y,"A grouping of adjacent New England city and town areas that have a degree of economic and social integration, as measured by commuting."
G3210,"New England City and Town Metropolitan and Micropolitan Statistical Area",Tabulation Area,N,N,Y,"An area containing a substantial population nucleus together with adjacent communities having a high degree of economic and social integration with that core, as measured by commuting. Defined using Minor Civil Divisions (MCDs) in New England."
G3220,"New England City and Town Division",Tabulation Area,N,N,Y,"A grouping of cities and towns in New England that is a subdivision of a New England City and Town Area containing an urbanized area with a population of 2.5 million or more."
